USER_ID,ITEM_ID,EVENT_TYPE,EVENT_VALUE,TIMESTAMP
CUST_0080,Caffe Americano,Rating,7,1752351911
CUST_0087,Matcha Green Tea Latte,Rating,5,1754079911
CUST_0147,Strawberry Açaí Refresher,Rating,5,1753561511
CUST_0106,Espresso,Rating,10,1749327911
CUST_0012,Pumpkin Cream Cold Brew,Rating,10,1747772711
CUST_0087,Iced Pumpkin Spice Latte,Rating,10,1747772711
CUST_0042,Caramel Frappuccino,Rating,6,1757881511
CUST_0123,Pecan Crunch Oatmilk Latte,Rating,9,1757017511
CUST_0001,Mango Dragonfruit Refresher,Rating,5,1748377511
CUST_0181,Flat White,Rating,7,1745526311
CUST_0169,Pecan Crunch Oatmilk Latte,Rating,6,1750969511
CUST_0073,Strawberry Açaí Refresher,Rating,8,1748377511
CUST_0062,Cappuccino,Rating,6,1757363111
CUST_0088,Chai Tea Latte,Rating,5,1748463911
CUST_0021,Flat White,Rating,7,1756499111
CUST_0194,Matcha Green Tea Latte,Rating,8,1753647911
CUST_0170,Caramel Frappuccino,Rating,9,1750796711
CUST_0193,Nitro Cold Brew,Rating,8,1753561511
CUST_0150,Strawberry Açaí Refresher,Rating,9,1758659111
CUST_0091,Mango Dragonfruit Refresher,Rating,10,1753043111
CUST_0178,Nitro Cold Brew,Rating,10,1750451111
CUST_0008,Mango Dragonfruit Refresher,Rating,6,1750710311
CUST_0062,Mango Dragonfruit Refresher,Rating,9,1752438311
CUST_0131,Cold Brew,Rating,8,1757449511
CUST_0150,Iced Brown Sugar Oatmilk Shaken Espresso,Rating,9,1754943911
CUST_0158,Pecan Crunch Oatmilk Latte,Rating,9,1746995111
CUST_0098,Caffe Mocha,Rating,6,1748031911
CUST_0181,Pumpkin Cream Cold Brew,Rating,7,1756499111
CUST_0056,Caffe Latte,Rating,7,1745526311
CUST_0049,Pink Drink,Rating,8,1758918311
CUST_0144,Pumpkin Cream Cold Brew,Rating,8,1753388711
CUST_0031,Caffe Mocha,Rating,7,1757535911
CUST_0154,Iced Matcha Latte,Rating,9,1753475111
CUST_0069,Caffe Latte,Rating,10,1757535911
CUST_0171,Caffe Americano,Rating,5,1758486311
CUST_0083,Cappuccino,Rating,10,1756585511
CUST_0093,Vanilla Bean Frappuccino,Rating,6,1746217511
CUST_0151,Pumpkin Cream Cold Brew,Rating,10,1746649511
CUST_0079,Caffe Latte,Rating,8,1752611111
CUST_0038,Iced Pumpkin Spice Latte,Rating,10,1757363111
CUST_0167,Caramel Frappuccino,Rating,8,1758918311
CUST_0096,Caffe Latte,Rating,10,1744403111
CUST_0162,Espresso,Rating,8,1755030311
CUST_0146,Pumpkin Spice Latte,Rating,9,1752179111
CUST_0141,Pumpkin Cream Cold Brew,Rating,7,1744748711
CUST_0187,Nitro Cold Brew,Rating,9,1751487911
CUST_0188,Espresso,Rating,5,1757190311
CUST_0008,Iced Caffe Americano,Rating,9,1750364711
CUST_0182,Pumpkin Spice Latte,Rating,9,1759868711
CUST_0137,Mango Dragonfruit Refresher,Rating,7,1754252711
CUST_0042,Iced Pumpkin Spice Latte,Rating,6,1745785511
CUST_0008,Caffe Americano,Rating,7,1751574311
CUST_0096,Iced Matcha Latte,Rating,10,1750278311
CUST_0017,Caffe Latte,Rating,10,1752870311
CUST_0005,Matcha Green Tea Latte,Rating,10,1754079911
CUST_0065,Strawberry Açaí Refresher,Rating,5,1755548711
CUST_0017,Matcha Green Tea Latte,Rating,7,1756931111
CUST_0167,Caffe Americano,Rating,10,1755721511
CUST_0161,Caramel Frappuccino,Rating,5,1745526311
CUST_0056,Pink Drink,Rating,10,1758745511
CUST_0090,Caffe Americano,Rating,8,1749846311
CUST_0105,Paradise Drink,Rating,5,1757708711
CUST_0062,Mango Dragonfruit Refresher,Rating,5,1748550311
CUST_0188,Nitro Cold Brew,Rating,8,1750969511
CUST_0029,Iced Chai Tea Latte,Rating,9,1747686311
CUST_0161,Caffe Latte,Rating,6,1746735911
CUST_0139,Mango Dragonfruit Refresher,Rating,9,1744489511
CUST_0010,Vanilla Bean Frappuccino,Rating,9,1756671911
CUST_0119,Mango Dragonfruit Refresher,Rating,10,1753043111
CUST_0079,Cold Brew,Rating,10,1749327911
CUST_0016,Matcha Green Tea Latte,Rating,9,1750537511
CUST_0076,Nitro Cold Brew,Rating,9,1749500711
CUST_0124,Espresso,Rating,9,1758486311
CUST_0173,Matcha Green Tea Latte,Rating,10,1748809511
CUST_0129,Pink Drink,Rating,10,1752956711
CUST_0055,Iced Matcha Latte,Rating,10,1752524711
CUST_0050,Caffe Mocha,Rating,8,1754079911
CUST_0073,Chai Tea Latte,Rating,5,1744835111
CUST_0072,Chai Tea Latte,Rating,9,1756585511
CUST_0158,Caffe Latte,Rating,8,1758486311
CUST_0153,Iced Brown Sugar Oatmilk Shaken Espresso,Rating,10,1746995111
CUST_0015,Java Chip Frappuccino,Rating,5,1753129511
CUST_0143,Chai Tea Latte,Rating,10,1757881511
CUST_0052,Nitro Cold Brew,Rating,9,1756844711
CUST_0199,Caffe Latte,Rating,7,1746044711
CUST_0120,Chai Tea Latte,Rating,6,1745958311
CUST_0102,Espresso,Rating,5,1758831911
CUST_0033,Caffe Americano,Rating,9,1753043111
CUST_0087,Vanilla Bean Frappuccino,Rating,8,1746822311
CUST_0006,Caramel Frappuccino,Rating,6,1747340711
CUST_0129,Mango Dragonfruit Refresher,Rating,10,1749241511
CUST_0143,Iced Brown Sugar Oatmilk Shaken Espresso,Rating,7,1759004711
CUST_0170,Caffe Americano,Rating,7,1751142311
CUST_0071,Strawberry Açaí Refresher,Rating,7,1755980711
CUST_0027,Espresso,Rating,9,1748118311
CUST_0036,Cappuccino,Rating,5,1755980711
CUST_0082,Caffe Mocha,Rating,5,1758745511
CUST_0171,Iced Pumpkin Spice Latte,Rating,6,1755203111
CUST_0080,Paradise Drink,Rating,7,1756412711
CUST_0136,Paradise Drink,Rating,9,1752265511
CUST_0178,Espresso,Rating,9,1748291111
CUST_0170,Mocha Frappuccino,Rating,10,1759263911
CUST_0149,Cappuccino,Rating,5,1758486311
CUST_0174,Vanilla Bean Frappuccino,Rating,5,1751487911
CUST_0143,Mango Dragonfruit Refresher,Rating,7,1755980711
CUST_0193,Paradise Drink,Rating,5,1749759911
CUST_0044,Mocha Frappuccino,Rating,7,1747340711
CUST_0161,Iced Caffe Americano,Rating,5,1758572711
CUST_0058,Pecan Crunch Oatmilk Latte,Rating,10,1753129511
CUST_0090,Mango Dragonfruit Refresher,Rating,9,1748463911
CUST_0024,Iced Caffe Americano,Rating,9,1757363111
CUST_0167,Chai Tea Latte,Rating,7,1747081511
CUST_0156,Mocha Frappuccino,Rating,9,1744835111
CUST_0185,Java Chip Frappuccino,Rating,5,1753388711
CUST_0143,Pink Drink,Rating,8,1752697511
CUST_0058,Iced Matcha Latte,Rating,10,1754511911
CUST_0192,Pink Drink,Rating,8,1745526311
CUST_0171,Caffe Latte,Rating,6,1753561511
CUST_0172,Pumpkin Cream Cold Brew,Rating,8,1747599911
CUST_0144,Iced Chai Tea Latte,Rating,9,1753215911
CUST_0153,Caffe Americano,Rating,8,1756931111
CUST_0165,Java Chip Frappuccino,Rating,5,1746476711
CUST_0152,Pink Drink,Rating,8,1746303911
CUST_0173,Pumpkin Cream Cold Brew,Rating,5,1753388711
CUST_0149,Caffe Americano,Rating,5,1757967911
CUST_0055,Paradise Drink,Rating,10,1755980711
CUST_0171,Pecan Crunch Oatmilk Latte,Rating,9,1745353511
CUST_0116,Caffe Latte,Rating,5,1752006311
CUST_0122,Iced Chai Tea Latte,Rating,5,1751747111
CUST_0157,Nitro Cold Brew,Rating,5,1746476711
CUST_0027,Espresso,Rating,9,1757622311
CUST_0160,Matcha Green Tea Latte,Rating,5,1745785511
CUST_0128,Iced Caffe Americano,Rating,7,1749932711
CUST_0179,Vanilla Bean Frappuccino,Rating,7,1746390311
CUST_0128,Pink Drink,Rating,7,1752179111
CUST_0125,Iced Caffe Americano,Rating,9,1747945511
CUST_0200,Mango Dragonfruit Refresher,Rating,6,1747513511
CUST_0078,Pink Drink,Rating,10,1750105511
CUST_0042,Pumpkin Cream Cold Brew,Rating,7,1756326311
CUST_0003,Pumpkin Cream Cold Brew,Rating,6,1752006311
CUST_0111,Vanilla Bean Frappuccino,Rating,10,1751660711
CUST_0153,Nitro Cold Brew,Rating,9,1753907111
CUST_0143,Caffe Latte,Rating,5,1746217511
CUST_0139,Cold Brew,Rating,9,1747340711
CUST_0042,Iced Caffe Americano,Rating,10,1758572711
CUST_0096,Pumpkin Spice Latte,Rating,5,1750883111
CUST_0190,Iced Matcha Latte,Rating,5,1752697511
CUST_0014,Caffe Americano,Rating,8,1755548711
CUST_0134,Caffe Americano,Rating,8,1744835111
CUST_0014,Iced Brown Sugar Oatmilk Shaken Espresso,Rating,8,1754079911
CUST_0040,Caffe Americano,Rating,10,1755203111
CUST_0140,Pumpkin Spice Latte,Rating,10,1750969511
CUST_0133,Iced Caffe Americano,Rating,7,1746995111
CUST_0021,Mango Dragonfruit Refresher,Rating,6,1753043111
CUST_0069,Paradise Drink,Rating,8,1745353511
CUST_0017,Pecan Crunch Oatmilk Latte,Rating,9,1751142311
CUST_0072,Pink Drink,Rating,5,1748031911
CUST_0108,Matcha Green Tea Latte,Rating,5,1754425511
CUST_0074,Vanilla Bean Frappuccino,Rating,5,1747167911
CUST_0090,Nitro Cold Brew,Rating,5,1755289511
CUST_0008,Vanilla Bean Frappuccino,Rating,5,1750969511
CUST_0185,Iced Chai Tea Latte,Rating,7,1748463911
CUST_0157,Mocha Frappuccino,Rating,7,1753820711
CUST_0017,Pecan Crunch Oatmilk Latte,Rating,7,1744489511
CUST_0095,Pumpkin Spice Latte,Rating,10,1749500711
CUST_0195,Cappuccino,Rating,10,1756239911
CUST_0155,Mocha Frappuccino,Rating,10,1756931111
CUST_0119,Matcha Green Tea Latte,Rating,8,1752697511
CUST_0125,Flat White,Rating,8,1751142311
CUST_0133,Caffe Latte,Rating,6,1752783911
CUST_0021,Java Chip Frappuccino,Rating,6,1756239911
CUST_0115,Caramel Frappuccino,Rating,8,1752524711
CUST_0141,Caramel Frappuccino,Rating,10,1752611111
CUST_0119,Cold Brew,Rating,5,1746044711
CUST_0078,Pecan Crunch Oatmilk Latte,Rating,6,1757103911
CUST_0077,Mango Dragonfruit Refresher,Rating,5,1748463911
CUST_0048,Iced Caffe Americano,Rating,5,1753215911
CUST_0198,Espresso,Rating,8,1751574311
