ITEM_ID,GENRES,RATING,RELEASE_YEAR,DIRECTOR,CREATION_TIMESTAMP
movie_A,Action|SciFi,8.5,2022,Director_One,1640995200
series_X,Drama|Mystery,9.1,2021,Director_Two,1617220800
movie_B,Comedy|Romance,7.8,2023,Director_Three,1672531200
series_Y,Fantasy|Adventure,8.9,2020,Director_Four,1577836800
movie_C,Thriller,7.5,2022,Director_One,1640995300
movie_D,SciFi|Action,8.7,2021,Director_Five,1617220900
series_Z,Comedy|Sitcom,8.2,2023,Director_Six,1672531300
movie_E,Drama,8,2020,Director_Two,1577836900
movie_F,Action|Thriller,7.9,2023,Director_Seven,1672531400
movie_G,Comedy,7.1,2022,Director_Three,1640995400
series_A,Mystery|Crime,9,2021,Director_Four,1617221000
movie_H,Adventure,8.3,2020,Director_Eight,1577837000
series_B,SciFi|Horror,7.6,2023,Director_Nine,1672531500
movie_I,Drama|Romance,8.8,2022,Director_Ten,1640995500
series_C,Fantasy,9.2,2021,Director_Eleven,1617221100
movie_J,Action|Thriller,8.1,2020,Director_Twelve,1577837100
series_D,Comedy,7.4,2023,Director_Thirteen,1672531600
movie_K,Mystery,8.6,2022,Director_Fourteen,1640995600
series_E,Drama|Historical,9.3,2021,Director_Fifteen,1617221200
movie_L,SciFi,7.7,2020,Director_Sixteen,1577837200
movie_M,Horror,6.9,2023,Director_Seventeen,1672531700
series_F,Adventure|Kids,8.4,2022,Director_Eighteen,1640995700
movie_N,Documentary,9.5,2021,Director_Nineteen,1617221300
series_G,Action|Drama,8,2020,Director_Twenty,1577837300
movie_O,Comedy|Family,7.3,2023,Director_One,1672531800
series_H,SciFi|Mystery,8.7,2022,Director_Two,1640995800
movie_P,Thriller|Crime,8.2,2021,Director_Three,1617221400
series_I,Drama|Medical,9,2020,Director_Four,1577837400
movie_Q,Action|Adventure,7.9,2023,Director_Five,1672531900
series_J,Fantasy|Magical,8.8,2022,Director_Six,1640995900
movie_R,Comedy|Musical,7,2021,Director_Seven,1617221500
series_K,SciFi|Space,9.4,2020,Director_Eight,1577837500
movie_S,Drama|Sports,8.5,2023,Director_Nine,1672532000
series_L,Mystery|Crime,9.1,2022,Director_Ten,1640996000
movie_T,Action|Spy,8.3,2021,Director_Eleven,1617221600
series_M,Comedy|Teen,7.5,2020,Director_Twelve,1577837600
movie_U,Horror|Psychological,7.2,2023,Director_Thirteen,1672532100
series_N,Adventure|Historical,8.9,2022,Director_Fourteen,1640996100
movie_V,Documentary|Nature,9.6,2021,Director_Fifteen,1617221700
series_O,Action|Superhero,8.1,2020,Director_Sixteen,1577837700
movie_W,Comedy|Animated,7.4,2023,Director_Seventeen,1672532200
series_P,SciFi|Dystopian,8.7,2022,Director_Eighteen,1640996200
movie_X,Thriller|Suspense,8,2021,Director_Nineteen,1617221800
series_Q,Drama|War,9.2,2020,Director_Twenty,1577837800
movie_Y,Action|MartialArts,7.7,2023,Director_One,1672532300
series_R,Fantasy|Mythology,8.8,2022,Director_Two,1640996300
movie_Z,Comedy|Dark,6.8,2021,Director_Three,1617221900
series_S,SciFi|Alien,9.3,2020,Director_Four,1577837900
movie_AA,Horror|Supernatural,7.6,2023,Director_Five,1672532400
series_T,Adventure|Exploration,8.6,2022,Director_Six,1640996400
series_U,Comedy|Romantic,7.9,2021,Director_Seven,1617222000
series_V,SciFi|TimeTravel,9,2020,Director_Eight,1577838000
series_W,Drama|Courtroom,8.4,2023,Director_Nine,1672532500
movie_BB,Action|Crime,7.3,2022,Director_Ten,1640996500
series_BB,SciFi|AI,8.9,2021,Director_Eleven,1617222100
movie_CC,Drama|Biographical,9.1,2020,Director_Twelve,1577838100
series_CC,Fantasy|Dark,8.1,2023,Director_Thirteen,1672532600
movie_DD,Comedy|StandUp,7,2022,Director_Fourteen,1640996600
series_DD,Thriller|Political,9.4,2021,Director_Fifteen,1617222200
movie_EE,Action|Espionage,8.2,2020,Director_Sixteen,1577838200
series_EE,Drama|Legal,8.5,2023,Director_Seventeen,1672532700
movie_FF,Horror|FoundFootage,6.7,2022,Director_Eighteen,1640996700
series_FF,Adventure|PostApocalyptic,9.5,2021,Director_Nineteen,1617222300
movie_GG,SciFi|SpaceOpera,9.3,2020,Director_Twenty,1577838300
series_GG,Comedy|Workplace,7.2,2023,Director_One,1672532800
movie_HH,Thriller|Conspiracy,7.8,2022,Director_Two,1640996800
series_HH,Drama|Medical,8.8,2021,Director_Three,1617222400
movie_II,Action|Survival,8,2020,Director_Four,1577838400
series_II,Fantasy|Urban,8.6,2023,Director_Five,1672532900
movie_JJ,Comedy|Parody,7.1,2022,Director_Six,1640996900
series_JJ,SciFi|Cyberpunk,9,2021,Director_Seven,1617222500
movie_KK,Horror|Gothic,6.5,2020,Director_Eight,1577838500
series_KK,Adventure|Exploration,9.1,2023,Director_Nine,1672533000
movie_LL,Drama|Family,8.7,2022,Director_Ten,1640997000
series_LL,Thriller|Spy,8.3,2021,Director_Eleven,1617222600
movie_MM,Action|Historical,8.4,2020,Director_Twelve,1577838600
series_MM,Comedy|Animated,7.4,2023,Director_Thirteen,1672533100
movie_NN,SciFi|Apocalyptic,7.9,2022,Director_Fourteen,1640997100
series_NN,Drama|Cult,9.2,2021,Director_Fifteen,1617222700
movie_OO,Horror|Slasher,6,2020,Director_Sixteen,1577838700
series_OO,Fantasy|ParallelWorld,8.8,2023,Director_Seventeen,1672533200
movie_PP,Comedy|Slapstick,6.9,2022,Director_Eighteen,1640997200
series_PP,SciFi|AI,8.7,2021,Director_Nineteen,1617222800
movie_QQ,Action|Superhero,8.5,2020,Director_Twenty,1577838800
series_QQ,Drama|Political,9.3,2023,Director_One,1672533300
