USER_ID,AGE_GROUP,PREMIUM_MEMBER,REGION
user_001,25-34,1,North
user_002,35-44,0,South
user_003,18-24,1,East
user_004,45-54,0,West
user_005,25-34,1,Central
user_006,35-44,1,North
user_007,18-24,0,South
user_008,55-64,1,East
user_009,25-34,0,West
user_010,35-44,1,Central
user_011,18-24,0,North
user_012,45-54,1,South
user_013,25-34,0,East
user_014,35-44,1,West
user_015,18-24,1,Central
user_016,55-64,0,North
user_017,25-34,1,South
user_018,35-44,0,East
user_019,18-24,1,West
user_020,45-54,0,Central
user_021,25-34,1,North
user_022,35-44,0,South
user_023,18-24,1,East
user_024,45-54,0,West
user_025,25-34,1,Central
user_026,35-44,1,North
user_027,18-24,0,South
user_028,55-64,1,East
user_029,25-34,0,West
user_030,35-44,1,Central
user_031,18-24,0,North
user_032,45-54,1,South
user_033,25-34,0,East
user_034,35-44,1,West
user_035,18-24,1,Central
user_036,55-64,0,North
user_037,25-34,1,South
user_038,35-44,0,East
user_039,18-24,1,West
user_040,45-54,0,Central
user_041,25-34,1,North
user_042,35-44,0,South
user_043,18-24,1,East
user_044,45-54,0,West
user_045,25-34,1,Central
user_046,35-44,1,North
user_047,18-24,0,South
user_048,55-64,1,East
user_049,25-34,0,West
user_050,35-44,1,Central
